term,freq
de,15
el,9
y,8
la,5
sarmiento,4
angulo,4
sarmiento_angulo,4
grupo,4
en,4
banco,3
porvenir,3
seguros,3
del,3
aval,3
cesantías,3
del_grupo,3
grupo_aval,3
luis,2
carlos,2
a,2
través,2
bogotá,2
occidente,2
av,2
villas,2
popular,2
fondo,2
alfa,2
luis_carlos,2
carlos_sarmiento,2
