term,freq
de,681
la,371
en,364
mapfre,324
el,324
y,324
que,248
a,197
para,166
los,147
con,114
por,107
del,106
las,102
seguros,102
su,96
se,95
de_la,89
es,82
un,81
colombia,72
una,71
no,63
en_el,62
como,56
al,53
más,53
lo,50
seguro,46
de_mapfre,46
