term,freq
de,12
a,8
el,5
la,4
y,4
colombianos,3
es,3
riesgos,3
aseguradoras,3
suramericana,3
zurich,3
seguros,3
bolívar,3
través,3
libertador,3
suramericana_zurich,3
zurich_y,3
y_seguros,3
seguros_bolívar,3
bolívar_a,3
a_través,3
través_de,3
de_el,3
el_libertador,3
en,2
que,2
ríos,2
las,2
trabaja,2
con,2
