term,freq
de,4966
la,3295
que,2411
y,2291
a,2188
en,2046
el,1784
un,1430
no,1340
por,1035
los,1000
con,986
para,891
es,809
del,772
se,717
seguros,712
una,606
las,598
de_la,579
le,570
me,513
previsora,462
lo,441
su,431
la_previsora,414
sura,410
al,398
más,381
en_la,299
como,294
a_la,270
en_el,269
colombia,269
si,261
grupo,261
a_a,251
ha,250
son,226
mi,226
