brand_primary,neg,neu,pos,total
Fiduciaria La Previsora,0.24385805277525022,0.27388535031847133,0.4822565969062784,1.0
Positiva Compañía de Seguros,0.292896174863388,0.2721311475409836,0.4349726775956284,1.0
allianz,0.116751269035533,0.26903553299492383,0.6142131979695431,1.0
axa colpatria,0.2971014492753623,0.2427536231884058,0.4601449275362319,1.0
hdi seguros,0.15555555555555556,0.3333333333333333,0.5111111111111111,1.0
liberty seguros,0.13071895424836602,0.3790849673202614,0.49019607843137253,1.0
mapfre,0.23037323037323038,0.3075933075933076,0.462033462033462,1.0
porvenir,0.16,0.36,0.48,1.0
seguros bolivar,0.21452513966480447,0.22309124767225325,0.5623836126629422,1.0
sura,0.15595075239398085,0.32079343365253077,0.5232558139534884,1.0
zurich,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0
